Date,Open,High,Low,Close,Adj Close,Volume
2017-05-04,121.010002,121.220001,120.669998,121.180000,102.152618,9707200
2017-05-05,121.379997,121.470001,120.889999,121.290001,102.245338,5605400
2017-05-08,121.110001,121.139999,120.529999,120.629997,101.688980,8057800
2017-05-09,120.379997,120.629997,120.139999,120.620003,101.680550,5536700
2017-05-10,120.910004,121.059998,120.160004,120.480003,101.562508,6517000
2017-05-11,120.000000,120.570000,119.910004,120.480003,101.562508,7479800
2017-05-12,121.010002,121.489998,120.980003,121.389999,102.329636,7463900
2017-05-15,121.059998,121.209999,120.750000,121.059998,102.051468,5173200
2017-05-16,121.110001,121.889999,121.110001,121.510002,102.430824,6722700
2017-05-17,122.629997,123.540001,122.389999,123.279999,103.922897,11236400
2017-05-18,123.750000,123.940002,123.190002,123.419998,104.040833,8350500
2017-05-19,123.360001,123.779999,123.010002,123.709999,104.285355,11277400
2017-05-22,123.410004,123.559998,123.260002,123.370003,103.998741,4062900
2017-05-23,123.510002,123.620003,122.480003,122.540001,103.299088,7901300
2017-05-24,122.800003,123.260002,122.540001,123.230003,103.880730,7355200
2017-05-25,123.019997,123.279999,122.760002,123.269997,103.914444,6464800
2017-05-26,123.550003,123.739998,123.250000,123.480003,104.091499,2963800
2017-05-30,124.029999,124.139999,123.739998,124.089996,104.605675,4819400
2017-05-31,124.050003,124.650002,124.029999,124.400002,104.867004,8000200
2017-06-01,123.699997,124.190002,123.660004,124.150002,104.878029,9037300
2017-06-02,125.220001,125.769997,125.050003,125.620003,106.119835,13245000
2017-06-05,124.900002,125.160004,124.779999,124.839996,105.460915,6775500
2017-06-06,125.690002,125.870003,125.400002,125.519997,106.035316,12841500
2017-06-07,125.239998,125.519997,124.790001,124.919998,105.528465,12852400
2017-06-08,124.879997,124.879997,124.300003,124.589996,105.249702,8758600
2017-06-09,124.080002,124.639999,123.980003,124.400002,105.089172,5130500
2017-06-12,124.209999,124.989998,124.139999,124.360001,105.055435,4335800
2017-06-13,124.010002,124.519997,123.989998,124.379997,105.072304,4742600
2017-06-14,125.919998,126.709999,125.730003,126.300003,106.694275,20212300
2017-06-15,126.089996,126.330002,125.830002,126.099998,106.525307,5863700
2017-06-16,126.080002,126.440002,126.010002,126.349998,106.736496,6672500
2017-06-19,126.320000,126.480003,126.029999,126.169998,106.584435,5641300
2017-06-20,126.790001,127.400002,126.790001,127.300003,107.539055,8405700
2017-06-21,127.110001,127.639999,126.910004,127.559998,107.758713,5914800
2017-06-22,127.709999,127.870003,127.309998,127.839996,107.995171,6608100
2017-06-23,127.470001,127.900002,127.400002,127.779999,107.944534,4329900
2017-06-26,128.270004,128.570007,128.160004,128.259995,108.349983,5541600
2017-06-27,127.430000,127.489998,126.620003,126.889999,107.192665,8354200
2017-06-28,126.669998,126.709999,125.980003,126.470001,106.837860,7357900
2017-06-29,125.010002,125.720001,124.900002,125.410004,105.942398,9115800
2017-06-30,125.190002,125.389999,124.849998,125.120003,105.697449,10189800
2017-07-03,125.000000,125.040001,124.019997,124.459999,105.357162,11021100
2017-07-05,124.199997,124.650002,124.120003,124.489998,105.382530,11394500
2017-07-06,123.519997,123.639999,122.930000,123.459999,104.510620,10853100
2017-07-07,122.839996,123.029999,122.589996,122.720001,103.884224,9401800
2017-07-10,122.870003,123.099998,122.680000,122.900002,104.036552,3859200
2017-07-11,122.860001,123.330002,122.709999,123.110001,104.214355,4425600
2017-07-12,123.889999,124.040001,123.489998,123.959999,104.933891,7839900
2017-07-13,123.599998,123.650002,122.809998,123.180000,104.273605,7449300
2017-07-14,124.099998,124.160004,123.120003,123.330002,104.400566,6566800
2017-07-17,123.330002,123.989998,123.269997,123.669998,104.688354,4737300
2017-07-18,124.430000,124.769997,124.230003,124.750000,105.602615,9163000
2017-07-19,124.779999,125.010002,124.589996,124.800003,105.644981,5140900
2017-07-20,125.489998,125.730003,124.970001,125.160004,105.949699,12239100
2017-07-21,125.730003,126.029999,125.570000,125.690002,106.398331,6201500
2017-07-24,125.449997,125.660004,125.160004,125.199997,105.983505,5378500
2017-07-25,124.139999,124.190002,123.470001,123.570000,104.603745,9743300
2017-07-26,123.269997,124.089996,123.080002,123.769997,104.773087,8459500
2017-07-27,123.110001,123.379997,122.820000,123.160004,104.256653,6390800
2017-07-28,123.269997,123.989998,123.260002,123.889999,104.874626,5491800
2017-07-31,123.459999,124.050003,123.400002,124.040001,105.001610,5464600
2017-08-01,123.180000,124.709999,123.160004,124.639999,105.738831,9676800
2017-08-02,124.769997,125.169998,124.680000,124.709999,105.798195,5745600
2017-08-03,125.290001,126.019997,125.260002,126.000000,106.892586,10324500
